62323746 H;NK;60,35
62323744 V;NK;60,39
62323744 H;NK;60,39
62323742 V;NK;53,32
62323742 H;NK;53,32
62323076 V;NK;54,76
62323076 H;NK;54,76
62323075 V;NK;58,03
62323075 H;NK;58,03
62233831 V;NK;69,30
62233831 H;NK;69,30
62223154 V;NK;65,42
62223154 H;NK;65,42
62223139 V;NK;64,66
62223139 H;NK;64,66
62223138 V;NK;62,37
62223138 H;NK;62,37
62223100 V;NK;34,73
62223100 H;NK;34,73
62223099 V;NK;44,23
62223099 H;NK;44,23
62223077 V;NK;62,32
62223077 H;NK;62,32
62193096 V;NK;51,07
62193096 H;NK;51,07
62103627 V;NK;87,41
62103627 H;NK;87,41
62103618 V;NK;82,89
62103618 H;NK;82,89
654831742;NK;50,20
654831741;NK;50,20
654831732;NK;49,21
654831731;NK;49,21
653731502;NK;37,95
653731501;NK;37,95
653631972;NK;46,44
653631971;NK;46,44
653432552;NK;54,71
653432551;NK;54,71
653430812;NK;49,07
653430811;NK;49,07
653430792;NK;47,05
653430791;NK;47,05
653430782;NK;48,65
653430781;NK;47,05
652532392;NK;46,39
652532391;NK;46,39
652331892;NK;43,38
652331891;NK;43,38
652231522;NK;54,77
652231521;NK;54,77
651931882;NK;49,37
651931881;NK;49,37
651931872;NK;36,68
651931871;NK;36,68
651931592;NK;42,30
651931591;NK;42,30
651931092;NK;41,51
651931091;NK;41,51
651531052;NK;59,92
651531051;NK;59,92
651530562;NK;66,27
651530561;NK;66,27
651530542;NK;74,39
651530541;NK;74,39
651530492;NK;69,78
651530491;NK;69,78
651530482;NK;69,78
651530481;NK;69,78
634017182;NK;49,63
634017181;NK;48,19
625031112;NK;39,41
625031111;NK;39,41
625031102;NK;35,53
625031101;NK;35,53
623430812;NK;42,47
623430811;NK;42,47
623231282;NK;49,07
623231281;NK;49,07
65993850;NK;31,76
65993737;NK;51,18
65993736;NK;51,18
65993720;NK;42,44
65523788;NK;48,87
65501216;NK;28,91
65483790;NK;45,76
65483035;NK;72,36
65483026;NK;65,49
65473886;NK;31,16
65473884;NK;43,29
65473882;NK;46,11
65473715;NK;43,98
65473219;NK;43,11
65473211;NK;46,17
65473210;NK;34,03
65473169;NK;43,16
65473028;NK;30,46
65473004;NK;36,04
65472200;NK;39,90
65472128;NK;41,74
65472110;NK;46,25
65433704;NK;30,02
65433702;NK;32,63
65413030;NK;79,05
65413029;NK;70,94
65393855;NK;45,26
65393803;NK;41,03
65393696;NK;39,87
65393203;NK;55,70
65393161;NK;41,75
65393098;NK;42,72
65393051;NK;44,56
65393050;NK;35,46
65393024;NK;48,08
65393023;NK;48,08
65393010;NK;62,75
65373738;NK;45,12
65373209;NK;43,66
65363852;NK;62,38
65363602;NK;39,90
65333729;NK;56,01
65333242;NK;70,22
65333064;NK;45,26
65261370;NK;44,42
65253960;NK;46,25
65253853;NK;45,12
65253848;NK;51,04
65253726;NK;49,19
65253725;NK;35,82
65253606;NK;63,84
65253533;NK;37,75
65253532;NK;42,47
65253430;NK;43,99
65253422;NK;45,76
65253333;NK;47,52
65253117;NK;41,60
65253116;NK;50,48
65253080;NK;30,50
65253072;NK;39,47
65253070;NK;30,65
65253061;NK;49,49
65253047;NK;53,30
65253027;NK;49,16
65253022;NK;53,30
65253020;NK;52,88
65253019;NK;44,56
65253014;NK;46,44
65233865;NK;44,27
65233861;NK;43,07
65233722;NK;46,90
65233675;NK;45,12
65233442;NK;42,16
65233354;NK;48,93
65233328;NK;44,27
65233141;NK;65,62
65233140;NK;61,35
65233114;NK;49,35
65233074;NK;38,32
65233073;NK;47,52
65233071;NK;43,02
65233057;NK;47,13
65233055;NK;44,90
65233053;NK;49,34
65233052;NK;41,03
65233016;NK;48,22
65233012;NK;51,79
65233011;NK;30,31
65233005;NK;53,30
65232873;NK;39,90
65221336;NK;33,70
65193604;NK;49,05
65193400;NK;42,33
65153056;NK;70,50
65153054;NK;70,50
65153049;NK;68,21
65153048;NK;67,26
65103164;NK;62,21
65103163;NK;62,21
65103146;NK;67,26
65103145;NK;62,34
64998700;NK;36,17
64998694;NK;31,32
64488794;NK;36,40
64488513;NK;40,47
64478636;NK;26,31
64478600;NK;28,57
64478594;NK;28,69
64458111;NK;37,75
64458004;NK;45,68
64418006;NK;45,68
64418005;NK;45,63
64368734;NK;33,56
64368612;NK;32,32
64368102;NK;34,61
64158718;NK;37,32
64158716;NK;41,47
64158714;NK;38,21
64158088;NK;52,20
64158086;NK;52,20
64158002;NK;36,09
64158001;NK;36,09
63991835;NK;34,46
63991721;NK;19,33
63991701;NK;28,31
63991695;NK;21,17
63991098;NK;27,60
63521789;NK;17,82
63482273;NK;46,67
63481793;NK;27,84
63481791;NK;27,70
63481502;NK;28,74
63481251;NK;38,07
63481073;NK;33,35
63473295;NK;47,38
63472713;NK;50,34
63472712;NK;39,47
63472204;NK;36,17
63472203;NK;36,99
63472194;NK;37,51
63472121;NK;45,68
63472115;NK;37,08
63472101;NK;30,02
63472011;NK;29,75
63472010;NK;25,67
63471819;NK;23,20
