BM70244;BM CATALYSTS;73,035
BM70245;BM CATALYSTS;45,16
BM70248;BM CATALYSTS;88,56
BM70249;BM CATALYSTS;37,44
BM70250;BM CATALYSTS;26,46
BM70252;BM CATALYSTS;66,825
BM70253;BM CATALYSTS;135
BM70254;BM CATALYSTS;85,86
BM70255;BM CATALYSTS;56,7
BM70256;BM CATALYSTS;21,606
BM70257;BM CATALYSTS;74,385
BM70258;BM CATALYSTS;88
BM70259;BM CATALYSTS;54
BM70260;BM CATALYSTS;84,375
BM70261;BM CATALYSTS;58,064
BM70262;BM CATALYSTS;71,994
BM70263;BM CATALYSTS;54
BM70265;BM CATALYSTS;66,177
BM70266;BM CATALYSTS;41,92
BM70267;BM CATALYSTS;40,824
BM70269;BM CATALYSTS;54
BM70271;BM CATALYSTS;67,122
BM70272;BM CATALYSTS;47,25
BM70273;BM CATALYSTS;62,64
BM70274;BM CATALYSTS;32,4
BM70278;BM CATALYSTS;50,544
BM70279;BM CATALYSTS;48,34
BM70280;BM CATALYSTS;28,431
BM70283;BM CATALYSTS;20,9
BM70284;BM CATALYSTS;63,45
BM70285;BM CATALYSTS;64,8
BM70288;BM CATALYSTS;74,824
BM70290;BM CATALYSTS;45,5
BM70291;BM CATALYSTS;51,354
BM70292;BM CATALYSTS;79,65
BM70293;BM CATALYSTS;27
BM70296;BM CATALYSTS;74,626
BM70297;BM CATALYSTS;83,85
BM70298;BM CATALYSTS;107,055
BM70299;BM CATALYSTS;91,699
BM70300;BM CATALYSTS;73,231
BM70301;BM CATALYSTS;75,978
BM70304;BM CATALYSTS;40,5
BM70305;BM CATALYSTS;96,85
BM70306;BM CATALYSTS;66,43
BM70307;BM CATALYSTS;62,4
BM70309;BM CATALYSTS;41,04
BM70310;BM CATALYSTS;54,054
BM70312;BM CATALYSTS;62,964
BM70313;BM CATALYSTS;58,05
BM70314;BM CATALYSTS;88,992
BM70318;BM CATALYSTS;52,11
BM70319;BM CATALYSTS;223
BM70324;BM CATALYSTS;56,295
BM70325;BM CATALYSTS;74,626
BM70326;BM CATALYSTS;59,427
BM70327;BM CATALYSTS;78,84
BM70328;BM CATALYSTS;28,35
BM70329;BM CATALYSTS;51,3
BM70330;BM CATALYSTS;55,917
BM70333;BM CATALYSTS;42,093
BM70334;BM CATALYSTS;56,72
BM70335;BM CATALYSTS;70,227
BM70337;BM CATALYSTS;63,5
BM70339;BM CATALYSTS;72,171
BM70341;BM CATALYSTS;76,032
BM70345;BM CATALYSTS;158,76
BM70346;BM CATALYSTS;46,17
BM70347;BM CATALYSTS;105,651
BM70348;BM CATALYSTS;84,24
BM70351;BM CATALYSTS;45,306
BM70352;BM CATALYSTS;55,978
BM70356;BM CATALYSTS;94,5
BM70359;BM CATALYSTS;54
BM70360;BM CATALYSTS;47,628
BM70361;BM CATALYSTS;80,703
BM70362;BM CATALYSTS;40,69
BM70364;BM CATALYSTS;75,384
BM70365;BM CATALYSTS;86,086
BM70366;BM CATALYSTS;49,95
BM70367;BM CATALYSTS;62,505
BM70368;BM CATALYSTS;60,183
BM70369;BM CATALYSTS;44,199
BM70370;BM CATALYSTS;78,3
BM70371;BM CATALYSTS;81,12
BM70380;BM CATALYSTS;81,12
BM70381;BM CATALYSTS;96,66
BM70382;BM CATALYSTS;87,993
BM70384;BM CATALYSTS;70,2
BM70385;BM CATALYSTS;59,103
BM70386;BM CATALYSTS;110,916
BM70389;BM CATALYSTS;32,4
BM70390;BM CATALYSTS;25,65
BM70391;BM CATALYSTS;64,773
BM70394;BM CATALYSTS;119,22
BM70395;BM CATALYSTS;81,12
BM70396;BM CATALYSTS;56,241
BM70398;BM CATALYSTS;39,474
BM70399;BM CATALYSTS;52,46
BM70400;BM CATALYSTS;41,499
BM70401;BM CATALYSTS;22,14
BM70402;BM CATALYSTS;26,163
BM70405;BM CATALYSTS;40,5
BM70409;BM CATALYSTS;64,746
BM70410;BM CATALYSTS;75,6
BM70411;BM CATALYSTS;67,626
BM70412;BM CATALYSTS;71,226
BM70414;BM CATALYSTS;54,054
BM70417;BM CATALYSTS;30,888
BM70418;BM CATALYSTS;113,4
BM70419;BM CATALYSTS;68,04
BM70422;BM CATALYSTS;61,243
BM70423;BM CATALYSTS;42,1
BM70425;BM CATALYSTS;52,623
BM70426;BM CATALYSTS;60,372
BM70427;BM CATALYSTS;43,29
BM70430;BM CATALYSTS;56,025
BM70431;BM CATALYSTS;55,12
BM70432;BM CATALYSTS;68,562
BM70437;BM CATALYSTS;45,12
BM70438;BM CATALYSTS;71,658
BM70439;BM CATALYSTS;31,752
BM70442;BM CATALYSTS;80,784
BM70443;BM CATALYSTS;75,087
BM70444;BM CATALYSTS;48,546
BM70445;BM CATALYSTS;65,772
BM70446;BM CATALYSTS;73,71
BM70447;BM CATALYSTS;66,771
BM70448;BM CATALYSTS;54,6
BM70449;BM CATALYSTS;55,566
BM70451;BM CATALYSTS;91
BM70452;BM CATALYSTS;66,825
BM70453;BM CATALYSTS;60,966
BM70456;BM CATALYSTS;62,1
BM70457;BM CATALYSTS;58,05
BM70458;BM CATALYSTS;81,432
BM70460;BM CATALYSTS;29,7
BM70461;BM CATALYSTS;94,5
BM70462;BM CATALYSTS;32,68
BM70463;BM CATALYSTS;78,598
BM70464;BM CATALYSTS;44,01
BM70465;BM CATALYSTS;38,66
BM70466;BM CATALYSTS;41,472
